# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!

CCTV1,http://43.247.135.126:5007/TVOD/6000000001000029752/wasusyt/index.m3u8
CCTV2,http://43.247.135.126:5007/TVOD/6000000001000014161/wasusyt/index.m3u8
CCTV3,http://43.247.135.126:5007/TVOD/6000000001000022313/wasusyt/index.m3u8
CCTV4,http://43.247.135.126:5007/TVOD/5000000011000031102/bestzb/index.m3u8
CCTV5,http://43.247.135.126:5007/TVOD/1000000005000025222/ystenlive/index.m3u8
CCTV6,http://43.247.135.126:5007/TVOD/6000000001000004574/wasusyt/index.m3u8
CCTV7,http://43.247.135.126:5007/TVOD/6000000001000009055/wasusyt/index.m3u8
CCTV8,http://43.247.135.126:5007/TVOD/6000000001000001070/wasusyt/index.m3u8
CCTV9,http://43.247.135.126:5007/TVOD/6000000001000032162/wasusyt/index.m3u8
CCTV10,http://43.247.135.126:5007/TVOD/5000000004000012827/bestzb/index.m3u8
CCTV11,http://43.247.135.126:5007/TVOD/5000000011000031106/bestzb/index.m3u8
CCTV12,http://43.247.135.126:5007/TVOD/6000000001000022586/wasusyt/index.m3u8
CCTV13,http://43.247.135.126:5007/TVOD/5000000011000031108/bestzb/index.m3u8
CCTV14,http://43.247.135.126:5007/TVOD/6000000001000013647/wasusyt/index.m3u8
CCTV15,http://43.247.135.126:5007/TVOD/5000000011000031109/bestzb/index.m3u8
CCTV16,http://43.247.135.126:5007/TVOD/1000000006000233002/ystenlive/index.m3u8
CCTV17,http://43.247.135.126:5007/TVOD/1000000006000268004/ystenlive/index.m3u8
安徽卫视,http://43.247.135.126:5007/TVOD/6000000001000009954/wasusyt/index.m3u8
北京卫视,http://43.247.135.126:5007/TVOD/6000000001000020451/wasusyt/index.m3u8
兵团卫视,http://43.247.135.126:5007/TVOD/1000000005000266005/ystenlive/index.m3u8
东南卫视,http://43.247.135.126:5007/TVOD/5000000004000010584/bestzb/index.m3u8
甘肃卫视,http://43.247.135.126:5007/TVOD/5000000011000031121/bestzb/index.m3u8
广东卫视,http://43.247.135.126:5007/TVOD/5000000004000014694/bestzb/index.m3u8
广西卫视,http://43.247.135.126:5007/TVOD/5000000011000031118/bestzb/index.m3u8
贵州卫视,http://43.247.135.126:5007/TVOD/5000000004000025843/bestzb/index.m3u8
海南卫视,http://43.247.135.126:5007/TVOD/5000000004000006211/bestzb/index.m3u8
河北卫视,http://43.247.135.126:5007/TVOD/5000000006000040016/bestzb/index.m3u8
河南卫视,http://43.247.135.126:5007/TVOD/5000000011000031119/bestzb/index.m3u8
黑龙江卫视,http://43.247.135.126:5007/TVOD/6000000001000016510/wasusyt/index.m3u8
黑龙江卫视,http://43.247.135.126:5007/TVOD/1000000001000001925/ystenlive/index.m3u8
湖北卫视,http://43.247.135.126:5007/TVOD/6000000001000015436/wasusyt/index.m3u8
湖南卫视,http://43.247.135.126:5007/TVOD/5000000004000006692/bestzb/index.m3u8
吉林卫视,http://43.247.135.126:5007/TVOD/5000000011000031117/bestzb/index.m3u8
江苏卫视,http://43.247.135.126:5007/TVOD/6000000001000014861/wasusyt/index.m3u8
江西卫视,http://43.247.135.126:5007/TVOD/1000000006000268001/ystenlive/index.m3u8
辽宁卫视,http://43.247.135.126:5007/TVOD/5000000004000011671/bestzb/index.m3u8
宁夏卫视,http://43.247.135.126:5007/TVOD/1000000002000031451/ystenlive/index.m3u8
青海卫视,http://43.247.135.126:5007/TVOD/1000000002000013359/ystenlive/index.m3u8
厦门卫视,http://43.247.135.126:5007/TVOD/1000000005000266006/ystenlive/index.m3u8
山东卫视,http://43.247.135.126:5007/TVOD/6000000001000004134/wasusyt/index.m3u8
山西卫视,http://43.247.135.126:5007/TVOD/1000000002000021220/ystenlive/index.m3u8
陕西卫视,http://43.247.135.126:5007/TVOD/1000000002000007495/ystenlive/index.m3u8
东方卫视,http://43.247.135.126:5007/TVOD/5000000004000014098/bestzb/index.m3u8
深圳卫视,http://43.247.135.126:5007/TVOD/5000000004000007410/bestzb/index.m3u8
四川卫视,http://43.247.135.126:5007/TVOD/5000000004000006119/bestzb/index.m3u8
探索纪录,http://43.247.135.126:5007/TVOD/2000000004000000007/hnbblive/index.m3u8
天津卫视,http://43.247.135.126:5007/TVOD/5000000004000006827/bestzb/index.m3u8
CCTV1,http://158.179.175.153:50001/TVOD/6000000001000029752/wasusyt/index.m3u8
CCTV2,http://158.179.175.153:50001/TVOD/6000000001000014161/wasusyt/index.m3u8
CCTV3,http://158.179.175.153:50001/TVOD/6000000001000022313/wasusyt/index.m3u8
CCTV4,http://158.179.175.153:50001/TVOD/5000000011000031102/bestzb/index.m3u8
CCTV5,http://158.179.175.153:50001/TVOD/1000000005000025222/ystenlive/index.m3u8
CCTV6,http://158.179.175.153:50001/TVOD/6000000001000004574/wasusyt/index.m3u8
CCTV7,http://158.179.175.153:50001/TVOD/6000000001000009055/wasusyt/index.m3u8
CCTV8,http://158.179.175.153:50001/TVOD/6000000001000001070/wasusyt/index.m3u8
CCTV9,http://158.179.175.153:50001/TVOD/6000000001000032162/wasusyt/index.m3u8
CCTV10,http://158.179.175.153:50001/TVOD/5000000004000012827/bestzb/index.m3u8
CCTV11,http://158.179.175.153:50001/TVOD/5000000011000031106/bestzb/index.m3u8
CCTV12,http://158.179.175.153:50001/TVOD/6000000001000022586/wasusyt/index.m3u8
CCTV13,http://158.179.175.153:50001/TVOD/5000000011000031108/bestzb/index.m3u8
CCTV14,http://158.179.175.153:50001/TVOD/6000000001000013647/wasusyt/index.m3u8
CCTV15,http://158.179.175.153:50001/TVOD/5000000011000031109/bestzb/index.m3u8
CCTV16,http://158.179.175.153:50001/TVOD/1000000006000233002/ystenlive/index.m3u8
CCTV17,http://158.179.175.153:50001/TVOD/1000000006000268004/ystenlive/index.m3u8
安徽卫视,http://158.179.175.153:50001/TVOD/6000000001000009954/wasusyt/index.m3u8
北京卫视,http://158.179.175.153:50001/TVOD/6000000001000020451/wasusyt/index.m3u8
兵团卫视,http://158.179.175.153:50001/TVOD/1000000005000266005/ystenlive/index.m3u8
东南卫视,http://158.179.175.153:50001/TVOD/5000000004000010584/bestzb/index.m3u8
甘肃卫视,http://158.179.175.153:50001/TVOD/5000000011000031121/bestzb/index.m3u8
广东卫视,http://158.179.175.153:50001/TVOD/5000000004000014694/bestzb/index.m3u8
广西卫视,http://158.179.175.153:50001/TVOD/5000000011000031118/bestzb/index.m3u8
贵州卫视,http://158.179.175.153:50001/TVOD/5000000004000025843/bestzb/index.m3u8
海南卫视,http://158.179.175.153:50001/TVOD/5000000004000006211/bestzb/index.m3u8
河北卫视,http://158.179.175.153:50001/TVOD/5000000006000040016/bestzb/index.m3u8
河南卫视,http://158.179.175.153:50001/TVOD/5000000011000031119/bestzb/index.m3u8
黑龙江卫视,http://158.179.175.153:50001/TVOD/6000000001000016510/wasusyt/index.m3u8
黑龙江卫视,http://158.179.175.153:50001/TVOD/1000000001000001925/ystenlive/index.m3u8
湖北卫视,http://158.179.175.153:50001/TVOD/6000000001000015436/wasusyt/index.m3u8
